scale,region,contrast,cond_A,cond_B,mean_contrast,sd_contrast,ci95_low,ci95_high,paired_dz,rank_biserial,t_stat,t_p_value,wilcoxon_p,significant_p05
4,Central,0_to_3,0back,3back,-0.039716,0.063614,-0.065410,-0.014022,-0.6243,-0.6011,-3.1835,3.869596e-03,6.130725e-03,YES
4,Central,2_to_3,2back,3back,0.010732,0.026387,0.000074,0.021390,0.4067,0.4587,2.0738,4.855082e-02,4.074723e-02,YES
5,Central,0_to_2,0back,2back,-0.057710,0.059648,-0.081802,-0.033618,-0.9675,-0.8462,-4.9334,4.428385e-05,3.755093e-05,YES
5,Central,0_to_3,0back,3back,-0.047661,0.050504,-0.068060,-0.027262,-0.9437,-0.8006,-4.8120,6.065000e-05,1.258850e-04,YES
5,Central,2_to_3,2back,3back,0.010049,0.027658,-0.001123,0.021220,0.3633,0.4530,1.8526,7.578540e-02,4.346645e-02,NO
mean_mse,Frontal,0_to_2,0back,2back,-0.079173,0.109861,-0.123546,-0.034799,-0.7207,-0.6923,-3.6747,1.136582e-03,1.297981e-03,YES
mean_mse,Frontal,0_to_3,0back,3back,-0.070203,0.105702,-0.112897,-0.027509,-0.6642,-0.6353,-3.3866,2.343961e-03,3.550977e-03,YES
mean_mse,Frontal,2_to_3,2back,3back,0.008970,0.033795,-0.004680,0.022620,0.2654,0.3903,1.3534,1.880429e-01,8.419731e-02,NO
1,Frontal,0_to_2,0back,2back,-0.039219,0.079800,-0.071451,-0.006987,-0.4915,-0.5214,-2.5060,1.908460e-02,1.897734e-02,YES
1,Frontal,0_to_3,0back,3back,-0.030042,0.075689,-0.060613,0.000530,-0.3969,-0.4359,-2.0238,5.379945e-02,5.251908e-02,NO
1,Frontal,2_to_3,2back,3back,0.009177,0.023627,-0.000366,0.018720,0.3884,0.4872,1.9805,5.875186e-02,2.915090e-02,NO
2,Frontal,0_to_2,0back,2back,-0.073271,0.120358,-0.121885,-0.024657,-0.6088,-0.6182,-3.1042,4.694956e-03,4.689366e-03,YES
2,Frontal,0_to_3,0back,3back,-0.060539,0.114103,-0.106626,-0.014452,-0.5306,-0.5385,-2.7054,1.210670e-02,1.513213e-02,YES
2,Frontal,2_to_3,2back,3back,0.012732,0.036859,-0.002156,0.027620,0.3454,0.4815,1.7613,9.041918e-02,3.122070e-02,NO
3,Frontal,0_to_2,0back,2back,-0.088793,0.119773,-0.137171,-0.040416,-0.7413,-0.7094,-3.7801,8.694406e-04,9.347796e-04,YES
3,Frontal,0_to_3,0back,3back,-0.078676,0.114463,-0.124908,-0.032443,-0.6873,-0.6638,-3.5048,1.744330e-03,2.181530e-03,YES
3,Frontal,2_to_3,2back,3back,0.010118,0.037989,-0.005226,0.025462,0.2663,0.4074,1.3580,1.865886e-01,7.092106e-02,NO
4,Frontal,0_to_2,0back,2back,-0.096059,0.117808,-0.143643,-0.048476,-0.8154,-0.7607,-4.1577,3.301498e-04,3.207028e-04,YES
4,Frontal,0_to_3,0back,3back,-0.089772,0.115126,-0.136272,-0.043271,-0.7798,-0.7208,-3.9760,5.268630e-04,7.454455e-04,YES
4,Frontal,2_to_3,2back,3back,0.006288,0.036469,-0.008442,0.021018,0.1724,0.2251,0.8791,3.876968e-01,3.276410e-01,NO
5,Frontal,0_to_2,0back,2back,-0.098580,0.121678,-0.147727,-0.049433,-0.8102,-0.7607,-4.1311,3.535957e-04,3.207028e-04,YES
5,Frontal,0_to_3,0back,3back,-0.092040,0.119567,-0.140334,-0.043746,-0.7698,-0.7322,-3.9251,6.003965e-04,5.907416e-04,YES
5,Frontal,2_to_3,2back,3back,0.006540,0.037860,-0.008752,0.021832,0.1727,0.2707,0.8808,3.868004e-01,2.369501e-01,NO
