region,entropy_measure,amplitude_measure,fisher_mean_pearson_r,ci95_low_r,ci95_high_r,mean_spearman_rho,fisher_z_t,group_p,q_global,significant_p05
Occipital,entropy__sample_entropy,amp__variance,-0.5085,-0.6153,-0.3834,-0.4458,-7.3710,1.011369e-07,1.947613e-07,YES
Parietal,entropy__mse,amp__alpha_power_8_13,-0.0847,-0.1889,0.0214,-0.0353,-1.6448,1.125339e-01,1.270525e-01,NO
Parietal,entropy__mse,amp__alpha_relative_8_13,0.1418,0.0258,0.2542,0.1647,2.5129,1.878900e-02,2.274862e-02,YES
Parietal,entropy__mse,amp__beta_power_13_30,0.0974,0.0259,0.1678,0.1569,2.8040,9.619577e-03,1.194671e-02,YES
Parietal,entropy__mse,amp__beta_relative_13_30,0.4577,0.4100,0.5029,0.4606,17.3361,1.911443e-15,1.661226e-14,YES
Parietal,entropy__mse,amp__broadband_power_1_45,-0.3910,-0.4585,-0.3190,-0.3181,-10.3201,1.691082e-10,4.749916e-10,YES
Parietal,entropy__mse,amp__delta_power_1_4,-0.4169,-0.4708,-0.3599,-0.3664,-13.6087,4.627907e-13,2.050914e-12,YES
Parietal,entropy__mse,amp__delta_relative_1_4,-0.3826,-0.4757,-0.2810,-0.3309,-7.2598,1.316072e-07,2.485914e-07,YES
Parietal,entropy__mse,amp__hilbert_envelope_mean,-0.5082,-0.5941,-0.4109,-0.4345,-9.3342,1.264069e-09,3.077089e-09,YES
Parietal,entropy__mse,amp__low_gamma_power_30_45,0.1931,0.1215,0.2627,0.2712,5.4819,1.076884e-05,1.671749e-05,YES
Parietal,entropy__mse,amp__low_gamma_relative_30_45,0.4566,0.4021,0.5080,0.4907,15.1790,4.010636e-14,2.397135e-13,YES
Parietal,entropy__mse,amp__mean_abs,-0.5068,-0.5923,-0.4099,-0.4318,-9.3598,1.197754e-09,2.936337e-09,YES
Parietal,entropy__mse,amp__peak_to_peak,-0.5442,-0.6206,-0.4576,-0.4821,-10.8444,6.093279e-11,1.869447e-10,YES
Parietal,entropy__mse,amp__rms,-0.5696,-0.6515,-0.4746,-0.4864,-10.1744,2.259201e-10,6.181508e-10,YES
Parietal,entropy__mse,amp__std,-0.5693,-0.6512,-0.4743,-0.4861,-10.1714,2.272836e-10,6.202450e-10,YES
Parietal,entropy__mse,amp__theta_power_4_8,-0.2368,-0.2790,-0.1938,-0.2122,-11.0192,4.367047e-11,1.387022e-10,YES
Parietal,entropy__mse,amp__theta_relative_4_8,0.0420,-0.0168,0.1004,0.0364,1.4714,1.536546e-01,1.711491e-01,NO
Parietal,entropy__mse,amp__variance,-0.5604,-0.6365,-0.4734,-0.4915,-10.9680,4.812373e-11,1.509964e-10,YES
Parietal,entropy__sample_entropy,amp__alpha_power_8_13,-0.1923,-0.3011,-0.0787,-0.1575,-3.4597,1.952943e-03,2.576593e-03,YES
Parietal,entropy__sample_entropy,amp__alpha_relative_8_13,-0.0202,-0.1499,0.1101,0.0230,-0.3188,7.525252e-01,7.695943e-01,NO
Parietal,entropy__sample_entropy,amp__beta_power_13_30,0.1465,0.0473,0.2429,0.1700,3.0326,5.582790e-03,7.047295e-03,YES
Parietal,entropy__sample_entropy,amp__beta_relative_13_30,0.4874,0.4361,0.5356,0.4845,16.8067,3.912049e-15,3.050222e-14,YES
Parietal,entropy__sample_entropy,amp__broadband_power_1_45,-0.3674,-0.4540,-0.2738,-0.3238,-7.6021,5.879378e-08,1.166068e-07,YES
Parietal,entropy__sample_entropy,amp__delta_power_1_4,-0.3728,-0.4218,-0.3216,-0.3541,-13.8591,3.088617e-13,1.436276e-12,YES
Parietal,entropy__sample_entropy,amp__delta_relative_1_4,-0.3556,-0.4429,-0.2615,-0.3125,-7.3587,1.041113e-07,2.001175e-07,YES
Parietal,entropy__sample_entropy,amp__hilbert_envelope_mean,-0.4752,-0.5823,-0.3520,-0.4201,-7.1381,1.758633e-07,3.256611e-07,YES
Parietal,entropy__sample_entropy,amp__low_gamma_power_30_45,0.4649,0.3782,0.5435,0.5295,9.8224,4.598025e-10,1.214816e-09,YES
Parietal,entropy__sample_entropy,amp__low_gamma_relative_30_45,0.7281,0.6887,0.7631,0.7376,24.0614,8.295923e-19,3.246367e-17,YES
Parietal,entropy__sample_entropy,amp__mean_abs,-0.4726,-0.5792,-0.3501,-0.4170,-7.1518,1.702052e-07,3.163133e-07,YES
Parietal,entropy__sample_entropy,amp__peak_to_peak,-0.4322,-0.5384,-0.3126,-0.3959,-6.8451,3.562602e-07,6.397261e-07,YES
Parietal,entropy__sample_entropy,amp__rms,-0.5106,-0.6144,-0.3895,-0.4505,-7.6163,5.688835e-08,1.136671e-07,YES
Parietal,entropy__sample_entropy,amp__std,-0.5104,-0.6143,-0.3892,-0.4503,-7.6103,5.769097e-08,1.150491e-07,YES
Parietal,entropy__sample_entropy,amp__theta_power_4_8,-0.2566,-0.3001,-0.2120,-0.2416,-11.4501,1.949962e-11,6.597424e-11,YES
Parietal,entropy__sample_entropy,amp__theta_relative_4_8,-0.0128,-0.0895,0.0640,-0.0038,-0.3431,7.344231e-01,7.521943e-01,NO
Parietal,entropy__sample_entropy,amp__variance,-0.5000,-0.5973,-0.3881,-0.4576,-8.1006,1.869655e-08,3.920793e-08,YES
Temporal,entropy__mse,amp__alpha_power_8_13,0.0292,-0.0399,0.0980,0.0629,0.8704,3.923768e-01,4.175421e-01,NO
Temporal,entropy__mse,amp__alpha_relative_8_13,0.2080,0.1400,0.2741,0.2299,6.1955,1.766188e-06,2.935155e-06,YES
Temporal,entropy__mse,amp__beta_power_13_30,0.1888,0.1057,0.2693,0.2300,4.6308,9.701314e-05,1.408014e-04,YES
Temporal,entropy__mse,amp__beta_relative_13_30,0.4302,0.3638,0.4922,0.4216,12.0235,6.887915e-12,2.546441e-11,YES
Temporal,entropy__mse,amp__broadband_power_1_45,-0.2896,-0.3379,-0.2398,-0.2173,-11.4562,1.928177e-11,6.534379e-11,YES
Temporal,entropy__mse,amp__delta_power_1_4,-0.3789,-0.4268,-0.3289,-0.3420,-14.3629,1.392347e-13,6.941651e-13,YES
Temporal,entropy__mse,amp__delta_relative_1_4,-0.4411,-0.5112,-0.3652,-0.3975,-10.7460,7.362083e-11,2.216104e-10,YES
Temporal,entropy__mse,amp__hilbert_envelope_mean,-0.3541,-0.4489,-0.2515,-0.2768,-6.7363,4.642123e-07,8.214815e-07,YES
Temporal,entropy__mse,amp__low_gamma_power_30_45,0.2135,0.1165,0.3065,0.2741,4.4750,1.453126e-04,2.092906e-04,YES
Temporal,entropy__mse,amp__low_gamma_relative_30_45,0.4264,0.3552,0.4926,0.4400,11.1579,3.360818e-11,1.087416e-10,YES
Temporal,entropy__mse,amp__mean_abs,-0.3568,-0.4508,-0.2551,-0.2768,-6.8397,3.609968e-07,6.476707e-07,YES
Temporal,entropy__mse,amp__peak_to_peak,-0.3846,-0.4640,-0.2990,-0.3116,-8.6106,5.990242e-09,1.330167e-08,YES
Temporal,entropy__mse,amp__rms,-0.4238,-0.5126,-0.3260,-0.3347,-8.1748,1.580943e-08,3.362950e-08,YES
