region,entropy_measure,amplitude_measure,contrast,raw_mean_contrast,raw_p_value,beta0_adjusted_entropy,beta1_amplitude_coupling,beta0_t_stat,beta0_p_value,r2_explained_by_amplitude,retains_significance_p05
Occipital,entropy__sample_entropy,amp__rms,2_to_3,0.007470,4.218312e-02,0.003420,-0.030722,0.8209,4.197863e-01,0.1025,NO
Occipital,entropy__sample_entropy,amp__broadband_power_1_45,0_to_2,0.039849,3.934753e-03,0.019406,-0.001165,1.9194,6.689295e-02,0.4879,NO
Occipital,entropy__sample_entropy,amp__broadband_power_1_45,0_to_3,0.047319,1.183245e-03,0.024431,-0.001167,2.2593,3.322106e-02,0.4701,YES
Occipital,entropy__sample_entropy,amp__broadband_power_1_45,2_to_3,0.007470,4.218312e-02,0.005041,-0.001176,1.3176,2.000903e-01,0.0772,NO
Occipital,entropy__sample_entropy,amp__theta_relative_4_8,0_to_2,0.039849,3.934753e-03,0.015569,1.755416,1.0624,2.986355e-01,0.2203,NO
Occipital,entropy__sample_entropy,amp__theta_relative_4_8,0_to_3,0.047319,1.183245e-03,0.036762,1.090351,2.4927,1.997431e-02,0.0760,YES
Occipital,entropy__sample_entropy,amp__theta_relative_4_8,2_to_3,0.007470,4.218312e-02,0.008395,0.222874,2.0707,4.930465e-02,0.0091,YES
Occipital,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_2,0.039849,3.934753e-03,-0.000477,-0.609334,-0.0415,9.672304e-01,0.5427,NO
Occipital,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_3,0.047319,1.183245e-03,0.009337,-0.608894,0.7221,4.771823e-01,0.4545,NO
Occipital,entropy__sample_entropy,amp__alpha_relative_8_13,2_to_3,0.007470,4.218312e-02,0.009209,-0.457470,2.5142,1.904214e-02,0.0713,YES
Occipital,entropy__sample_entropy,amp__beta_relative_13_30,0_to_2,0.039849,3.934753e-03,0.019220,1.590740,2.6264,1.479266e-02,0.7162,YES
Occipital,entropy__sample_entropy,amp__beta_relative_13_30,0_to_3,0.047319,1.183245e-03,0.024643,1.631785,2.8703,8.428132e-03,0.6447,YES
Occipital,entropy__sample_entropy,amp__beta_relative_13_30,2_to_3,0.007470,4.218312e-02,0.006530,1.012819,2.1253,4.404907e-02,0.2635,YES
Occipital,entropy__mse,amp__rms,0_to_2,0.039849,3.934753e-03,-0.006810,-0.040283,-0.9258,3.637736e-01,0.7967,NO
Occipital,entropy__mse,amp__rms,0_to_3,0.047319,1.183245e-03,-0.004603,-0.039460,-0.5954,5.571749e-01,0.7886,NO
Occipital,entropy__mse,amp__rms,2_to_3,0.007470,4.218312e-02,0.006089,-0.005315,1.8106,8.274122e-02,0.0052,NO
Occipital,entropy__mse,amp__broadband_power_1_45,0_to_2,0.039849,3.934753e-03,-0.005186,-0.001632,-0.6010,5.534793e-01,0.7198,NO
Occipital,entropy__mse,amp__broadband_power_1_45,0_to_3,0.047319,1.183245e-03,-0.001158,-0.001601,-0.1283,8.990133e-01,0.7056,NO
Occipital,entropy__mse,amp__broadband_power_1_45,2_to_3,0.007470,4.218312e-02,0.005850,-0.000455,1.9349,6.486777e-02,0.0197,NO
Occipital,entropy__mse,amp__theta_relative_4_8,0_to_2,0.039849,3.934753e-03,0.000059,1.691891,0.0034,9.973385e-01,0.1537,NO
Occipital,entropy__mse,amp__theta_relative_4_8,0_to_3,0.047319,1.183245e-03,0.020503,1.006744,1.2252,2.323981e-01,0.0516,NO
Occipital,entropy__mse,amp__theta_relative_4_8,2_to_3,0.007470,4.218312e-02,0.006856,0.015929,2.1958,3.801208e-02,0.0001,YES
Occipital,entropy__mse,amp__alpha_relative_8_13,0_to_2,0.039849,3.934753e-03,-0.024018,-0.717423,-1.8578,7.550339e-02,0.5652,NO
Occipital,entropy__mse,amp__alpha_relative_8_13,0_to_3,0.047319,1.183245e-03,-0.016759,-0.753615,-1.2812,2.123797e-01,0.5550,NO
Occipital,entropy__mse,amp__alpha_relative_8_13,2_to_3,0.007470,4.218312e-02,0.007266,-0.125313,2.5050,1.943571e-02,0.0091,YES
Occipital,entropy__mse,amp__beta_relative_13_30,0_to_2,0.039849,3.934753e-03,0.000167,1.796263,0.0188,9.851900e-01,0.6860,NO
Occipital,entropy__mse,amp__beta_relative_13_30,0_to_3,0.047319,1.183245e-03,0.003839,1.900587,0.4324,6.693143e-01,0.6971,NO
Occipital,entropy__mse,amp__beta_relative_13_30,2_to_3,0.007470,4.218312e-02,0.006125,0.716567,2.5337,1.823148e-02,0.2244,YES
Parietal,entropy__sample_entropy,amp__rms,0_to_2,0.018109,1.413446e-01,0.004786,-0.036816,0.5501,5.873532e-01,0.5326,NO
Parietal,entropy__sample_entropy,amp__rms,0_to_3,0.029450,2.682931e-02,0.010777,-0.036088,1.1307,2.693735e-01,0.5243,NO
Parietal,entropy__sample_entropy,amp__rms,2_to_3,0.011341,8.283229e-04,0.007657,-0.023688,1.8281,7.999077e-02,0.0603,NO
Parietal,entropy__sample_entropy,amp__broadband_power_1_45,0_to_2,0.018109,1.413446e-01,0.004062,-0.001482,0.4183,6.794795e-01,0.4352,NO
Parietal,entropy__sample_entropy,amp__broadband_power_1_45,0_to_3,0.029450,2.682931e-02,0.011500,-0.001503,1.1008,2.819157e-01,0.4373,NO
Parietal,entropy__sample_entropy,amp__broadband_power_1_45,2_to_3,0.011341,8.283229e-04,0.009090,-0.000913,2.3913,2.498325e-02,0.0369,YES
Parietal,entropy__sample_entropy,amp__theta_relative_4_8,0_to_2,0.018109,1.413446e-01,-0.000625,1.606738,-0.0410,9.676410e-01,0.1243,NO
Parietal,entropy__sample_entropy,amp__theta_relative_4_8,0_to_3,0.029450,2.682931e-02,0.019683,1.147396,1.3481,1.902179e-01,0.0621,NO
Parietal,entropy__sample_entropy,amp__theta_relative_4_8,2_to_3,0.011341,8.283229e-04,0.012000,0.209410,3.5135,1.781981e-03,0.0073,YES
Parietal,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_2,0.018109,1.413446e-01,-0.011236,-0.572543,-0.8977,3.782405e-01,0.3645,NO
Parietal,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_3,0.029450,2.682931e-02,-0.000025,-0.604068,-0.0019,9.984800e-01,0.3523,NO
Parietal,entropy__sample_entropy,amp__alpha_relative_8_13,2_to_3,0.011341,8.283229e-04,0.011813,-0.191841,3.7764,9.252999e-04,0.0144,YES
Parietal,entropy__sample_entropy,amp__beta_relative_13_30,0_to_2,0.018109,1.413446e-01,0.015417,1.876983,2.5175,1.890232e-02,0.7474,YES
Parietal,entropy__sample_entropy,amp__beta_relative_13_30,0_to_3,0.029450,2.682931e-02,0.017096,2.046361,2.5527,1.746979e-02,0.7390,YES
Parietal,entropy__sample_entropy,amp__beta_relative_13_30,2_to_3,0.011341,8.283229e-04,0.006517,1.048067,2.3205,2.913226e-02,0.3470,YES
Parietal,entropy__mse,amp__rms,0_to_2,0.018109,1.413446e-01,-0.017583,-0.041195,-2.8278,9.307163e-03,0.7364,YES
Parietal,entropy__mse,amp__rms,0_to_3,0.029450,2.682931e-02,-0.013829,-0.040766,-2.1780,3.946571e-02,0.7601,YES
Parietal,entropy__mse,amp__rms,2_to_3,0.011341,8.283229e-04,0.007330,-0.016780,2.2989,3.052068e-02,0.0526,YES
Parietal,entropy__mse,amp__broadband_power_1_45,0_to_2,0.018109,1.413446e-01,-0.019279,-0.001752,-2.7351,1.153854e-02,0.6714,YES
Parietal,entropy__mse,amp__broadband_power_1_45,0_to_3,0.029450,2.682931e-02,-0.013821,-0.001765,-1.8867,7.136250e-02,0.6856,NO
Parietal,entropy__mse,amp__broadband_power_1_45,2_to_3,0.011341,8.283229e-04,0.008398,-0.000625,2.9039,7.787543e-03,0.0301,YES
Parietal,entropy__mse,amp__theta_relative_4_8,0_to_2,0.018109,1.413446e-01,-0.014490,1.013261,-0.9607,3.462642e-01,0.0546,NO
Parietal,entropy__mse,amp__theta_relative_4_8,0_to_3,0.029450,2.682931e-02,0.001617,0.663482,0.1157,9.088644e-01,0.0236,NO
Parietal,entropy__mse,amp__theta_relative_4_8,2_to_3,0.011341,8.283229e-04,0.011250,0.416284,4.4418,1.717299e-04,0.0504,YES
Parietal,entropy__mse,amp__alpha_relative_8_13,0_to_2,0.018109,1.413446e-01,-0.029179,-0.517109,-2.3829,2.544357e-02,0.3283,YES
