branch,region,entropy_measure,amplitude_measure,contrast,n,beta0_adjusted_entropy,beta1_amplitude,beta0_se,beta0_t,beta0_p,r2,beta0_q_global,beta0_q_within_entropy_region
event,Frontal,entropy__sample_entropy,amp__rms,3T_minus_3NT,26,0.001360139647039332,-0.01444611076689576,0.003507854785468288,0.387741149569211,0.7016252265189952,0.8159293268035286,0.9341778694390785,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__rms,Target_main,26,0.0010260544011440544,-0.013805410630575634,0.0031102832549070045,0.32989098324896227,0.7443444974766578,0.7772113140640726,0.934625614765018,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__rms,Load_x_Target_interaction,26,0.0009876388949570472,-0.015579857110766128,0.00606923607812145,0.16272869966573145,0.8720944614215201,0.5557084654516635,0.9695347559260705,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__broadband_power_1_45,2T_minus_2NT,26,0.003241196419667544,-2.9392324434279063e-05,0.007593957149214146,0.42681257689253044,0.6733202662267217,0.06341622766447774,0.930295271570329,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__broadband_power_1_45,3T_minus_3NT,26,0.0012830817414762727,-7.572680299074699e-05,0.006716299936210582,0.19103997046924662,0.8501011980000485,0.34851811406272115,0.9639402465554019,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__broadband_power_1_45,Target_main,26,0.002959020184673465,-4.7834882563472685e-05,0.005967519612176935,0.4958542873718386,0.6245076002939889,0.19001999262357416,0.9157675869586549,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__broadband_power_1_45,Load_x_Target_interaction,26,0.000228185331613413,-6.812839935998922e-05,0.008429349473740994,0.027070337079302877,0.9786274726397666,0.1570182168994697,0.9946831492985304,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__theta_relative_4_8,2T_minus_2NT,26,0.003331179361017293,0.44994139825928176,0.007832851980823065,0.4252830730330305,0.6744194348119827,0.023583201304898216,0.9307598534735508,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__theta_relative_4_8,3T_minus_3NT,26,-0.005413287807920437,1.8046643447138837,0.007225383139883169,-0.7492042571472505,0.46101486019929566,0.3700560275122581,0.8330251740289092,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__theta_relative_4_8,Target_main,26,-0.0013181233315044997,1.5053492230412708,0.006082530432292583,-0.21670640963939777,0.8302686840282886,0.2631801942503281,0.9639402465554019,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__theta_relative_4_8,Load_x_Target_interaction,26,0.0009786886943629535,0.38173457528155724,0.009410466039415977,0.10400002404383492,0.9180335511308348,0.016421802022938636,0.9831752243533532,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__alpha_relative_8_13,2T_minus_2NT,26,0.005962174371351659,0.6359311469109766,0.007638017905771833,0.7805918295695816,0.44267414199687727,0.06131300584340127,0.829589021868188,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__alpha_relative_8_13,3T_minus_3NT,26,0.006444386619401426,2.1172779164439515,0.006851680350672322,0.940555643225398,0.35630378022333864,0.28017248818762375,0.8018984025921911,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__alpha_relative_8_13,Target_main,26,0.007081597079058096,1.2589532952319886,0.00593642222957002,1.1929065698500732,0.24456632254119184,0.17278665479458,0.7513401503322714,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__alpha_relative_8_13,Load_x_Target_interaction,26,0.0007664986593743344,0.7095197436894589,0.00903004117973951,0.08488318537174662,0.9330583828759474,0.04941434588933735,0.9852224228564818,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__beta_relative_13_30,2T_minus_2NT,26,0.0014568801845152813,1.4647486888010337,0.006195548445636352,0.2351495105395215,0.8160875205207863,0.37686010777412793,0.9585413486078129,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__beta_relative_13_30,3T_minus_3NT,26,0.002039918497871009,2.0142636163677867,0.005698061981711103,0.35800216010609814,0.7234712191015037,0.5171203199571495,0.934625614765018,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__beta_relative_13_30,Target_main,26,0.0012790977334653606,1.9736072501305875,0.0045877993224001145,0.27880420296940944,0.7827833609962705,0.5198583206901142,0.9506059650436106,0.9786274726397666
event,Frontal,entropy__sample_entropy,amp__beta_relative_13_30,Load_x_Target_interaction,26,0.002046303047179317,1.3125428657887817,0.007500319824058358,0.2728287719965627,0.7873186563402201,0.3201527208028554,0.951828522681721,0.9786274726397666
event,Frontal,entropy__mse,amp__rms,2T_minus_2NT,26,-0.005120924047389212,-0.020882698793153746,0.007702720621027505,-0.6648201719026006,0.5125036937817135,0.5797343184615626,0.8693190792137777,0.9970425259669572
event,Frontal,entropy__mse,amp__rms,3T_minus_3NT,26,-0.0009123028023636749,-0.021036430335886192,0.005771650612013891,-0.15806618655410032,0.8757270888325314,0.7763918348291472,0.9703787905319602,0.9970425259669572
event,Frontal,entropy__mse,amp__rms,Target_main,26,-0.0030194941378435475,-0.020979989201328705,0.004922856855571397,-0.613362164781668,0.5454066033591265,0.7628113795155769,0.8843310163195237,0.9970425259669572
event,Frontal,entropy__mse,amp__rms,Load_x_Target_interaction,26,0.004263563811154149,-0.020942592417367765,0.009347342009212608,0.4561257956488637,0.652400243862167,0.487916492783118,0.9193213589519782,0.9970425259669572
event,Frontal,entropy__mse,amp__broadband_power_1_45,2T_minus_2NT,26,-0.000772720114807101,-4.192288849384623e-05,0.011523396517005955,-0.06705662811018773,0.9470921312225494,0.05644565255470979,0.9892009119353192,0.9970425259669572
event,Frontal,entropy__mse,amp__broadband_power_1_45,3T_minus_3NT,26,-0.0005668564588666161,-0.00010435038190955479,0.01041538454221954,-0.05442491888502254,0.9570471509015801,0.29696167262069484,0.99032868880401,0.9970425259669572
event,Frontal,entropy__mse,amp__broadband_power_1_45,Target_main,26,3.4569852827546444e-05,-7.072814004515624e-05,0.00922981507344088,0.003745454546215386,0.9970425259669572,0.17654707795097258,0.9989074720910969,0.9970425259669572
event,Frontal,entropy__mse,amp__broadband_power_1_45,Load_x_Target_interaction,26,0.003865078916703509,-7.428265588194128e-05,0.012558998320562495,0.30775375695172474,0.7609246631812876,0.09070538296064956,0.9443825931649755,0.9970425259669572
event,Frontal,entropy__mse,amp__theta_relative_4_8,2T_minus_2NT,26,-0.0003594720319561281,0.5276576368478164,0.011898742478124268,-0.030210926290489458,0.9761486647248301,0.01419027691566932,0.9946831492985304,0.9970425259669572
event,Frontal,entropy__mse,amp__theta_relative_4_8,3T_minus_3NT,26,-0.010931940870950237,2.65041406557493,0.010887472865638737,-1.004084327544167,0.3253547317433543,0.3581692241532942,0.7878585748434448,0.9970425259669572
event,Frontal,entropy__mse,amp__theta_relative_4_8,Target_main,26,-0.007070586796437995,2.391091957335567,0.00920928957750667,-0.7677668007864176,0.4501140764358919,0.28218727205440874,0.8330251740289092,0.9970425259669572
event,Frontal,entropy__mse,amp__theta_relative_4_8,Load_x_Target_interaction,26,0.006628732841134931,-0.020353167850455753,0.013611923086454956,0.48697989248345774,0.6306906696391535,2.2684352665391927e-05,0.9175398946824074,0.9970425259669572
event,Frontal,entropy__mse,amp__alpha_relative_8_13,2T_minus_2NT,26,0.0033877014247449834,1.0249164953785137,0.011495789125193332,0.2946906374022419,0.7707642400703837,0.06967948687375869,0.9483212666772312,0.9970425259669572
event,Frontal,entropy__mse,amp__alpha_relative_8_13,3T_minus_3NT,26,0.006419260730168695,3.3044956343034424,0.010041380561787262,0.6392806935928075,0.5286954411844285,0.30624310589669046,0.8809740323718274,0.9970425259669572
event,Frontal,entropy__mse,amp__alpha_relative_8_13,Target_main,26,0.006390379571151392,2.115993367212405,0.008913533118102484,0.716930030604046,0.48033685579237834,0.20743677366535307,0.849291252270582,0.9970425259669572
event,Frontal,entropy__mse,amp__alpha_relative_8_13,Load_x_Target_interaction,26,0.004278064683905537,0.8381252426714384,0.013062060496011335,0.3275183639833775,0.7461156690487168,0.03350475664863173,0.934625614765018,0.9970425259669572
event,Frontal,entropy__mse,amp__beta_relative_13_30,2T_minus_2NT,26,-0.003675074600428662,2.2638068724809055,0.009238045555244052,-0.39781949314403153,0.6942797464958785,0.3938476365610398,0.9341778694390785,0.9970425259669572
